row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
12724,94112,"ENSG00000169592","INO80E",283899
12725,643,"ENSG00000169594","BNC1",646
12726,1665,"ENSG00000169598","DFFB",1677
12727,26992,"ENSG00000169599","NFU1",27247
12728,58379,"ENSG00000169604","ANTXR1",84168
12729,35567,"ENSG00000169605","GKN1",56287
12730,80894,"ENSG00000169607","CKAP2L",150468
12731,78943,"ENSG00000169609","C15orf40",123207
12732,57882,"ENSG00000169612","FAM103A1",83640
12733,10729,"ENSG00000169618","PROKR1",10887
12734,83576,"ENSG00000169621","APLF",200558
12735,167350,"ENSG00000169627","BOLA2B",654483
12736,171673,"ENSG00000169629","RGPD8",727851
12737,22874,"ENSG00000169635","HIC2",23119
12738,7752,"ENSG00000169641","LUZP1",7798
12739,,"ENSG00000169659","PLGLA",
12740,94142,"ENSG00000169660","HEXDC",284004
12741,,"ENSG00000169664","CD8BP",
12742,1804,"ENSG00000169676","DRD5",1816
12743,695,"ENSG00000169679","BUB1",699
12744,58201,"ENSG00000169682","SPNS1",83985
12745,83628,"ENSG00000169683","LRRC45",201255
12746,1130,"ENSG00000169684","CHRNA5",1138
12747,4464,"ENSG00000169688","MT1B",4490
12748,83627,"ENSG00000169689","STRA13",201254
12749,10408,"ENSG00000169692","AGPAT2",10555
12750,54898,"ENSG00000169696","ASPSCR1",79058
12751,2798,"ENSG00000169704","GP9",2815
12752,2179,"ENSG00000169710","FASN",2194
12753,7512,"ENSG00000169714","CNBP",7555
12754,4467,"ENSG00000169715","MT1E",4493
12755,79984,"ENSG00000169717","ACTRT2",140625
12756,40751,"ENSG00000169718","DUS1L",64118
12757,2856,"ENSG00000169727","GPS1",2873
12758,5954,"ENSG00000169733","RFNG",5986
12759,30663,"ENSG00000169738","DCXR",51181
12760,7537,"ENSG00000169740","ZNF32",7580
12761,8956,"ENSG00000169744","LDB2",9079
12762,5849,"ENSG00000169750","RAC3",5881
12763,80486,"ENSG00000169752","NRG4",145957
12764,3962,"ENSG00000169756","LIMS1",3987
12765,78952,"ENSG00000169758","C15orf27",123591
12766,22627,"ENSG00000169760","NLGN1",22871
12767,83671,"ENSG00000169762","TAPT1",202018
12768,,"ENSG00000169763","PRYP3",
12769,7317,"ENSG00000169764","UGP2",7360
12770,30321,"ENSG00000169777","TAS2R1",50834
12771,59084,"ENSG00000169783","LINGO1",84894
12772,8958,"ENSG00000169789","AC008175.3",9081
12773,81449,"ENSG00000169800","RBMY1F",159163
12774,135769,"ENSG00000169807","PRY",442862
12775,,"ENSG00000169811","RBMY1H",
12776,3165,"ENSG00000169813","HNRNPF",3185
12777,682,"ENSG00000169814","BTD",686
12778,34743,"ENSG00000169826","CSGALNACT2",55454
12779,6830,"ENSG00000169836","TACR3",6870
12780,85510,"ENSG00000169840","GSX1",219409
12781,5067,"ENSG00000169851","PCDH7",5099
12782,6059,"ENSG00000169855","ROBO1",6091
12783,3155,"ENSG00000169856","ONECUT1",3175
12784,36377,"ENSG00000169857","AVEN",57099
12785,4996,"ENSG00000169860","P2RY1",5028
12786,,"ENSG00000169861","IGHV1OR15-5",
12787,1490,"ENSG00000169862","CTNND2",1501
12788,57524,"ENSG00000169871","TRIM56",81844
12789,79869,"ENSG00000169876","MUC17",140453
12790,30808,"ENSG00000169877","ERAF",51327
12791,7437,"ENSG00000169884","WNT10B",7480
12792,81604,"ENSG00000169885","CALML6",163688
12793,9061,"ENSG00000169891","REPS2",9185
12794,,"ENSG00000169892","AC007731.8",
12795,4558,"ENSG00000169894","MUC3A",4584
12796,60703,"ENSG00000169895","SYAP1",94056
12797,3659,"ENSG00000169896","ITGAM",3684
12798,92196,"ENSG00000169900","PYDC1",260434
12799,8399,"ENSG00000169902","TPST1",8460
12800,7061,"ENSG00000169903","TM4SF4",7104
12801,81602,"ENSG00000169905","TOR1AIP2",163590
12802,791,"ENSG00000169906","S100G",795
12803,4046,"ENSG00000169908","TM4SF1",4071
12804,,"ENSG00000169910","AP000346.1",
12805,23007,"ENSG00000169914","OTUD3",23252
12806,81521,"ENSG00000169918","OTUD7A",161725
12807,2973,"ENSG00000169919","GUSB",2990
12808,7971,"ENSG00000169925","BRD3",8019
12809,31101,"ENSG00000169926","KLF13",51621
12810,9614,"ENSG00000169933","FRMPD4",9758
12811,23169,"ENSG00000169946","ZFPM2",23414
12812,60196,"ENSG00000169951","ZNF764",92595
12813,81446,"ENSG00000169953","HSFY2",159119
12814,41831,"ENSG00000169955","ZNF747",65988
12815,55527,"ENSG00000169957","ZNF768",79724
12816,57998,"ENSG00000169962","TAS1R3",83756
12817,79481,"ENSG00000169964","TMEM42",131616
12818,10588,"ENSG00000169967","MAP3K2",10746
12819,79172,"ENSG00000169972","PUSL1",126789
12820,57687,"ENSG00000169976","SF3B5",83443
12821,7541,"ENSG00000169981","ZNF35",7584
12822,83660,"ENSG00000169989","TIGD4",201798
12823,79181,"ENSG00000169991","IFFO2",126917
12824,36828,"ENSG00000169992","NLGN2",57555
12825,4622,"ENSG00000169994","MYO7B",4648
12826,1099,"ENSG00000170004","CHD3",1107
12827,83661,"ENSG00000170006","TMEM154",201799
12828,25673,"ENSG00000170011","MYRIP",25924
12829,211,"ENSG00000170017","ALCAM",214
12830,7489,"ENSG00000170027","YWHAG",7532
12831,10330,"ENSG00000170035","UBE2E3",10477
12832,78152,"ENSG00000170037","CNTROB",116840
12833,37299,"ENSG00000170043","TRAPPC1",58485
12834,79467,"ENSG00000170044","ZPLD1",131368
12835,9072,"ENSG00000170049","KCNAB3",9196
12836,108285,"ENSG00000170054","SERPINA9",327657
12837,94617,"ENSG00000170074","FAM153A",285596
12838,9152,"ENSG00000170075","GPR37L1",9283
12839,119587,"ENSG00000170085","C5orf25",375484
12840,83665,"ENSG00000170088","TMEM192",201931
12841,,"ENSG00000170089","AC106795.1",
12842,31097,"ENSG00000170091","AC093310.1",51617
